scenario,metric,baseline_total,reproduced_pct_reduction,center_pct_reduction,delta_pct_points,solver_status
Nitrogen based,Nitrogen Emission,287739236.80885214,17.80027045195203,17.80027045195203,0.0,kharif:Optimal;rabi:Optimal
Water based,Nitrogen Emission,287739236.80885214,7.390943854097443,7.390943854097443,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Nitrogen Leach,2391590187.444786,19.797991969595266,19.797991969595266,0.0,kharif:Optimal;rabi:Optimal
Water based,Nitrogen Leach,2391590187.444786,9.972299528945326,9.972299528945326,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Greenhouse Gas emission,398546513.153932,24.671536782589822,24.671536782589822,0.0,kharif:Optimal;rabi:Optimal
Water based,Greenhouse Gas emission,398546513.153932,31.11691303173235,31.11691303173235,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Profit,1215665645847.929,-3.6253246862156248,-3.6253246862156248,0.0,kharif:Optimal;rabi:Optimal
Water based,Profit,1215665645847.929,-3.411984828731278,-3.411984828731278,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Calorie,955924593799921.0,-5.182059554515627,-5.182059554515627,0.0,kharif:Optimal;rabi:Optimal
Water based,Calorie,955924593799921.0,-8.442332927368074,-8.442332927368074,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Phosphorus application,4580861940.3896265,8.414114480042619,8.414114480042619,0.0,kharif:Optimal;rabi:Optimal
Water based,Phosphorus application,4580861940.3896265,1.8450989308150643,1.8450989308150643,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Nitrogen application,12891996042.564434,9.6835009418088,9.6835009418088,0.0,kharif:Optimal;rabi:Optimal
Water based,Nitrogen application,12891996042.564434,1.9052473824039167,1.9052473824039167,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Phosphorus Surplus,3589737437.875405,13.022729943731752,13.022729943731752,0.0,kharif:Optimal;rabi:Optimal
Water based,Phosphorus Surplus,3589737437.875405,5.681845077065391,5.681845077065391,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Nitrogen Surplus,8285335580.939312,17.621137887895475,17.621137887895475,0.0,kharif:Optimal;rabi:Optimal
Water based,Nitrogen Surplus,8285335580.939312,7.485606230196606,7.485606230196606,0.0,kharif:Optimal;rabi:Optimal
Nitrogen based,Water Demand,467586094005.25684,25.526635101897405,25.526635101897405,0.0,kharif:Optimal;rabi:Optimal
Water based,Water Demand,467586094005.25684,35.69814672617745,35.69814672617745,0.0,kharif:Optimal;rabi:Optimal
