scenario,metric,original_total,optimized_total,pct_reduction,display_pct_change
Nitrogen based,Nitrogen Emission,287739236.80885214,229643749.31836975,20.190325148139515,-20.190325148139515
Water based,Nitrogen Emission,287739236.80885214,261303334.62501252,9.187451276031998,-9.187451276031998
Nitrogen based,Nitrogen Leach,2391590187.444786,1852849788.3417368,22.5264513097308,-22.5264513097308
Water based,Nitrogen Leach,2391590187.444786,2129099835.0254998,10.975557342444828,-10.975557342444828
Nitrogen based,Greenhouse Gas emission,398546513.153932,240279871.50550175,39.71095880276899,-39.71095880276899
Water based,Greenhouse Gas emission,398546513.153932,183263897.79372177,54.016936105287385,-54.016936105287385
Nitrogen based,Profit,550112782949.4415,648636912810.0696,-17.909805573393296,17.909805573393296
Water based,Profit,550112782949.4415,639375126431.2943,-16.226189655741283,16.226189655741283
Nitrogen based,Calorie,955924593799921.0,1013802155162894.0,-6.054615786471439,6.054615786471439
Water based,Calorie,955924593799921.0,1033381986844842.5,-8.102876895029825,8.102876895029825
Nitrogen based,Phosphorus application,4580861940.3896265,4071253831.419731,11.124720971759967,-11.124720971759967
Water based,Phosphorus application,4580861940.3896265,4346610288.2100725,5.113702513366505,-5.113702513366505
Nitrogen based,Nitrogen application,12891996042.564434,11498738207.654827,10.80715375888732,-10.80715375888732
Water based,Nitrogen application,12891996042.564434,12497126504.289253,3.0629045880209147,-3.0629045880209147
Nitrogen based,Phosphorus Surplus,3589737437.875405,2970597741.3388777,17.247492532572704,-17.247492532572704
Water based,Phosphorus Surplus,3589737437.875405,3213484984.3617935,10.481336310108999,-10.481336310108999
Nitrogen based,Nitrogen Surplus,8285335580.939312,6624987861.425215,20.039595298152822,-20.039595298152822
Water based,Nitrogen Surplus,8285335580.939312,7519054562.570042,9.248641903318015,-9.248641903318015
Nitrogen based,Water Demand,467586094005.25684,318394096594.1963,31.906850807539897,-31.906850807539897
Water based,Water Demand,467586094005.25684,267036816407.03082,42.89034258490402,-42.89034258490402
