State,Crop,original_area_ha,optimized_area_ha,state_abbrev,crop_order,state_order
west bengal,bajra,30.0,0.0,WB,0,0
west bengal,jowar,6.0,0.0,WB,1,0
west bengal,maize,245228.0,702382.4380268957,WB,2,0
west bengal,ragi,3379.0,336373.3192588375,WB,3,0
west bengal,rice,5537431.0,4290370.147372988,WB,4,0
west bengal,wheat,117360.0,574308.0953412789,WB,5,0
uttar pradesh,bajra,925397.0,1606238.0702412634,UP,0,1
uttar pradesh,jowar,169145.0,410315.0980736341,UP,1,1
uttar pradesh,maize,724343.0,492867.3665561754,UP,2,1
uttar pradesh,rice,5923632.0,5942407.201192047,UP,4,1
uttar pradesh,wheat,9752941.0,9043630.26393688,UP,5,1
tamil nadu,bajra,63029.0,321748.0,TN,0,2
tamil nadu,jowar,385646.0,109860.0,TN,1,2
tamil nadu,maize,324518.0,1954403.0294943852,TN,2,2
tamil nadu,ragi,86513.0,215076.01943230088,TN,3,2
tamil nadu,rice,1828865.0,87483.95107331384,TN,4,2
rajasthan,bajra,4264301.0,4300188.0,RJ,0,3
rajasthan,jowar,509129.0,1067018.155551092,RJ,1,3
rajasthan,maize,870123.0,319153.9750878429,RJ,2,3
rajasthan,rice,190641.0,147833.8693610652,RJ,4,3
rajasthan,wheat,3050258.0,3050258.0,RJ,5,3
punjab,bajra,1000.0,0.0,PN,0,4
punjab,maize,114000.0,77192.22398392239,PN,2,4
punjab,rice,3065000.0,3102807.7760160775,PN,4,4
punjab,wheat,3512000.0,3512000.0,PN,5,4
odisha,bajra,0.0,0.0,OD,0,5
odisha,jowar,0.0,87761.0,OD,1,5
odisha,maize,46942.0,291557.0414569523,OD,2,5
odisha,ragi,42592.0,74173.28143316961,OD,3,5
odisha,rice,3766390.0,3402505.677109878,OD,4,5
odisha,wheat,73.0,0.0,OD,5,5
madhya pradesh,bajra,309940.0,717500.0,MP,0,6
madhya pradesh,jowar,270040.0,2078412.7195923787,MP,1,6
madhya pradesh,maize,1352160.0,660187.989970946,MP,2,6
madhya pradesh,ragi,0.0,0.0,MP,3,6
madhya pradesh,rice,2035140.0,639734.3992276693,MP,4,6
madhya pradesh,wheat,5802980.0,5674424.891209006,MP,5,6
maharashtra,bajra,787833.0,0.0,MH,0,7
maharashtra,jowar,3464153.0,4983879.536118295,MH,1,7
maharashtra,maize,1063507.0,1461886.8184819536,MH,2,7
maharashtra,ragi,92817.0,710559.1453997516,MH,3,7
maharashtra,rice,1450943.0,348970.0,MH,4,7
maharashtra,wheat,1137731.5,491689.0,MH,5,7
karnataka,bajra,231550.0,72861.0,KA,0,8
karnataka,jowar,1088098.0,2909698.2731271815,KA,1,8
karnataka,maize,1307008.0,1370018.7268728183,KA,2,8
karnataka,ragi,777835.0,20565.0,KA,3,8
karnataka,rice,992925.0,170415.6857382904,KA,4,8
karnataka,wheat,193338.0,47195.3142617096,KA,5,8
haryana,bajra,510000.0,498261.5714396433,HR,0,9
haryana,jowar,47500.0,51865.25323321384,HR,1,9
haryana,maize,6600.0,0.0,HR,2,9
haryana,rice,1422100.0,1436073.175327143,HR,4,9
haryana,wheat,2647900.0,2647900.0,HR,5,9
gujarat,bajra,397152.0,639981.2363289098,GJ,0,10
gujarat,jowar,91198.0,756926.2995478939,GJ,1,10
gujarat,maize,399984.0,4538.160398520353,GJ,2,10
gujarat,ragi,11880.0,0.0,GJ,3,10
gujarat,rice,855290.0,776186.9126992751,GJ,4,10
gujarat,wheat,1058778.0,636649.3910254007,GJ,5,10
chhattisgarh,bajra,61.0,0.0,CH,0,11
chhattisgarh,jowar,0.0,402068.5192438493,CH,1,11
chhattisgarh,maize,119617.0,2988444.4807561506,CH,2,11
chhattisgarh,ragi,7274.0,0.0,CH,3,11
chhattisgarh,rice,3976626.0,713065.0,CH,4,11
chhattisgarh,wheat,102195.0,102195.0,CH,5,11
bihar,bajra,4379.0,0.0,BR,0,12
bihar,jowar,1358.0,0.0,BR,1,12
bihar,maize,742863.0,2185747.4843258234,BR,2,12
bihar,ragi,4211.0,1128063.2528033108,BR,3,12
bihar,rice,3306983.0,1484060.0,BR,4,12
bihar,wheat,2129560.0,1391483.2628708659,BR,5,12
assam,maize,31537.0,30721.368471613223,AS,2,13
assam,rice,2433711.0,2431029.631528387,AS,4,13
assam,wheat,17786.0,21283.0,AS,5,13
andhra pradesh,bajra,48357.0,119884.11739150055,AP,0,14
andhra pradesh,jowar,139669.0,16750.543491088825,AP,1,14
andhra pradesh,maize,336540.0,256369.2867208728,AP,2,14
andhra pradesh,ragi,34450.0,107166.0,AP,3,14
andhra pradesh,rice,2218186.0,2277070.0523965377,AP,4,14
andhra pradesh,wheat,38.0,0.0,AP,5,14
