State,original_rw_trade_kcal,optimized_rw_trade_kcal,diff_rw_trade_kcal
punjab,41315576899000.0,41449983613515.055,134406714515.0501
haryana,20108466196500.0,20114284154139.297,5817957639.296917
madhya pradesh,12818410246000.0,12360521649857.432,-457888596142.5697
andhra pradesh,11478999485733.334,12020161580584.807,541162094851.4704
rajasthan,5461633475566.667,5213024749904.429,-248608725662.2377
uttar pradesh,5075102647233.333,4824928638602.828,-250174008630.50452
odisha,2925689545566.6665,2792576480734.4443,-133113064832.22246
chhattisgarh,9864166995000.0,2196256618919.695,-7667910376080.306
telangana,2205517103516.667,1592860665935.4207,-612656437581.2461
west bengal,346080430466.6667,640375288782.5234,294294858315.8568
uttarakhand,753611371166.6667,619907888506.6061,-133703482660.06064
assam,589140617383.3334,594471462154.2682,5330844770.9348135
nagaland,489126869816.6667,469098563182.621,-20028306634.04573
kerala,380618444666.6667,285214449038.7734,-95403995627.8933
maharashtra,508815843333.3333,205942893024.87006,-302872950308.46344
bihar,169552071033.3333,98993951462.38568,-70558119570.94765
chandigarh,96003791666.66666,96003791666.66666,0.0
gujarat,115862490083.33333,84273155676.11234,-31589334407.220997
jharkhand,69448042266.66667,75461484965.40958,6013442698.742909
tripura,65848071533.333336,65039856466.2556,-808215067.0777395
karnataka,157164831566.66666,29252205535.184753,-127912626031.4819
jammu and kashmir,18363609383.333336,15316977280.874475,-3046632102.4588575
tamil nadu,167612351266.66666,5482595872.229431,-162129755394.43726
manipur,3943768000.0,3740380042.9639807,-203387957.03601897
mizoram,2527943000.0,1496724751.209679,-1031218248.7903212
himachal pradesh,1407676666.6666667,1407676666.6666667,0.0
arunachal pradesh,415284666.6666666,362723873.1802901,-52560793.48637657
sikkim,0.0,0.0,0.0
andaman and nicobar,0.0,0.0,0.0
puducherry,0.0,0.0,0.0
meghalaya,0.0,0.0,0.0
goa,6814652166.666666,0.0,-6814652166.666666
delhi,130187056016.66666,0.0,-130187056016.66667
daman and diu,0.0,0.0,0.0
dadra and nagar haveli,0.0,0.0,0.0
lakshadeep,0.0,0.0,0.0
