source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,4298809.0
bajra,jowar,reallocated,1627046.7903445703
bajra,maize,reallocated,330284.0094244495
bajra,ragi,reallocated,253826.20023098006
bajra,rice,reallocated,776580.0
jowar,bajra,reallocated,609424.1871238633
jowar,jowar,retained,682162.2532332139
jowar,maize,reallocated,432003.00247132586
jowar,ragi,reallocated,90471.99752867414
jowar,rice,reallocated,227004.55964292286
maize,bajra,reallocated,1392295.2050869765
maize,jowar,reallocated,1999473.471244994
maize,maize,retained,2275061.396009131
maize,ragi,reallocated,215909.36073027021
maize,rice,reallocated,1588123.5669286286
ragi,bajra,reallocated,7088.613436867399
ragi,jowar,reallocated,411778.0
ragi,maize,reallocated,465175.0941524202
ragi,ragi,retained,108609.90584757982
ragi,rice,reallocated,111293.3865631326
rice,bajra,reallocated,2107213.3765351768
rice,jowar,reallocated,3273673.8747110954
rice,maize,reallocated,7680164.814094756
rice,ragi,reallocated,1925120.4796960594
rice,rice,retained,25099180.204962913
